PARTNAME,SN,DATETIME,OKNG,BININFO,GLOSS1,GLOSS2,GLOSS3,L1,A1,B1,CMC1
Bucket,MJS0000047316962,,,L1-a3,,,,33.7737,1.3327,,
Bucket,MJS0000047321140,,,L1-a3,,,,33.6072,1.3764,,
Bucket,MJS0000047325977,,,L1-a3,,,,33.7829,1.4231,,
Bucket,MJS0000047331966,,,L1-a3,,,,33.8926,1.3556,,
Bucket,MJS0000047343525,,,L1-a3,,,,33.3318,1.3974,,
Bucket,MJS0000047343665,,,L1-a3,,,,33.765,1.3122,,
Bucket,MJS0000047346226,,,L1-a3,,,,33.5255,1.4328,,
Bucket,MJS0000047349671,,,L1-a3,,,,33.9939,1.3469,,
Bucket,MJS0000047355496,,,L1-a3,,,,33.151,1.345,,
Bucket,MJS0000047363106,,,L1-a3,,,,33.216,1.449,,
Bucket,MJS0000047363626,,,L1-a3,,,,33.44,1.3624,,
Bucket,MJS0000047364920,,,L1-a3,,,,33.5022,1.3553,,
Bucket,MJS0000047368533,,,L1-a3,,,,33.0939,1.3516,,
Bucket,MJS0000047370508,,,L1-a3,,,,33.9955,1.3402,,
Bucket,MJS0000047370749,,,L1-a3,,,,33.4297,1.3338,,
Bucket,MJS0000047377654,,,L1-a3,,,,33.5965,1.388,,
Bucket,MJS0000047380548,,,L1-a3,,,,33.1594,1.3453,,
Bucket,MJS0000047380693,,,L1-a3,,,,33.421,1.368,,
Bucket,MJS0000047381816,,,L1-a3,,,,33.937,1.309,,
Bucket,MJS0000047381819,,,L1-a3,,,,33.0986,1.3351,,
Bucket,MJS0000047394506,,,L1-a3,,,,33.689,1.368,,
Bucket,MJS0000047397585,,,L1-a3,,,,33.932,1.392,,
Bucket,MJS0000047402558,,,L1-a3,,,,33.651,1.4456,,
Bucket,MJS0000047403433,,,L1-a3,,,,33.558,1.3532,,
Bucket,MJS0000047404347,,,L1-a3,,,,33.056,1.301,,
Bucket,MJS0000047407685,,,L1-a3,,,,33.2663,1.3094,,
Bucket,MJS0000047411602,,,L1-a3,,,,33.5246,1.3358,,
Bucket,MJS0000047425594,,,L1-a3,,,,33.3742,1.3556,,
Bucket,MJS0000047427110,,,L1-a3,,,,33.8813,1.3422,,
Bucket,MJS0000047441122,,,L1-a3,,,,33.7995,1.3991,,
Bucket,MJS0000047441826,,,L1-a3,,,,33.7284,1.3586,,
Bucket,MJS0000047442611,,,L1-a3,,,,33.551,1.402,,
Bucket,MJS0000047446334,,,L1-a3,,,,33.2621,1.348,,
Bucket,MJS0000047456156,,,L1-a3,,,,33.7645,1.3782,,
Bucket,MJS0000047462770,,,L1-a3,,,,33.676,1.331,,
Bucket,MJS0000047476779,,,L1-a3,,,,33.0629,1.3273,,
Bucket,MJS0000047756109,,,L1-a3,,,,33.948,1.3105,,
Bucket,MJS0000047769193,,,L1-a3,,,,33.2619,1.4483,,
Bucket,MJS0000047781724,,,L1-a3,,,,33.0912,1.3611,,
Bucket,MJS0000047785536,,,L1-a3,,,,33.394,1.38,,
Bucket,MJS0000047788730,,,L1-a3,,,,33.49,1.357,,
Bucket,MJS0000047807833,,,L1-a3,,,,33.6248,1.3508,,
Bucket,MJS0000047811564,,,L1-a3,,,,33.386,1.3,,
Bucket,MJS0000047815005,,,L1-a3,,,,33.646,1.38,,
Bucket,MJS0000047817102,,,L1-a3,,,,33.2713,1.4032,,
Bucket,MJS0000047819324,,,L1-a3,,,,33.2188,1.4052,,
Bucket,MJS0000047820415,,,L1-a3,,,,34.037,1.437,,
Bucket,MJS0000047820771,,,L1-a3,,,,33.212,1.357,,
Bucket,MJS0000047824079,,,L1-a3,,,,33.964,1.3182,,
Bucket,MJS0000047825004,,,L1-a3,,,,33.212,1.358,,
Bucket,MJS0000047830040,,,L1-a3,,,,33.1068,1.3962,,
Bucket,MJS0000047838414,,,L1-a3,,,,33.7996,1.3276,,
Bucket,MJS0000047843980,,,L1-a3,,,,33.768,1.364,,
Bucket,MJS0000047844242,,,L1-a3,,,,33.7255,1.3302,,
Bucket,MJS0000047845520,,,L1-a3,,,,33.1612,1.4158,,
Bucket,MJS0000047846691,,,L1-a3,,,,34.0322,1.3138,,
Bucket,MJS0000047851646,,,L1-a3,,,,33.7626,1.3072,,
Bucket,MJS0000047851653,,,L1-a3,,,,33.8963,1.3358,,
Bucket,MJS0000047855250,,,L1-a3,,,,33.9742,1.3855,,
Bucket,MJS0000047858697,,,L1-a3,,,,33.4538,1.389,,
Bucket,MJS0000047861355,,,L1-a3,,,,33.071,1.3358,,
Bucket,MJS0000047871892,,,L1-a3,,,,33.6824,1.3886,,
Bucket,MJS0000047873535,,,L1-a3,,,,33.4209,1.4305,,
Bucket,MJS0000047878128,,,L1-a3,,,,33.0649,1.3375,,
Bucket,MJS0000047886437,,,L1-a3,,,,33.1802,1.3861,,
Bucket,MJS0000047895005,,,L1-a3,,,,33.7178,1.3454,,
Bucket,MJS0000047899452,,,L1-a3,,,,33.7389,1.3356,,
Bucket,MJS0000047900221,,,L1-a3,,,,33.386,1.368,,
Bucket,MJS0000047903403,,,L1-a3,,,,33.5311,1.3894,,
Bucket,MJS0000047919766,,,L1-a3,,,,33.5863,1.4108,,
Bucket,MJS0000047924897,,,L1-a3,,,,33.7447,1.4016,,
Bucket,MJS0000047925745,,,L1-a3,,,,33.823,1.3203,,
Bucket,MJS0000047935729,,,L1-a3,,,,33.4173,1.365,,
Bucket,MJS0000047937467,,,L1-a3,,,,33.486,1.325,,
Bucket,MJS0000047943584,,,L1-a3,,,,33.6636,1.407,,
Bucket,MJS0000047954934,,,L1-a3,,,,33.813,1.4043,,
Bucket,MJS0000047956330,,,L1-a3,,,,33.3995,1.311,,
Bucket,MJS0000047956514,,,L1-a3,,,,33.9099,1.3543,,
Bucket,MJS0000047957773,,,L1-a3,,,,33.8362,1.4356,,
Bucket,MJS0000047964202,,,L1-a3,,,,33.837,1.334,,
Bucket,MJS0000047970020,,,L1-a3,,,,33.1894,1.4127,,
Bucket,MJS0000047970247,,,L1-a3,,,,33.7109,1.304,,
Bucket,MJS0000047971357,,,L1-a3,,,,33.6089,1.4391,,
Bucket,MJS0000047977054,,,L1-a3,,,,33.766,1.4243,,
Bucket,MJS0000047979677,,,L1-a3,,,,33.0523,1.4232,,
Bucket,MJS0000047982414,,,L1-a3,,,,33.905,1.4421,,
Bucket,MJS0000047983657,,,L1-a3,,,,33.7429,1.444,,
Bucket,MJS0000047987155,,,L1-a3,,,,33.1601,1.3232,,
Bucket,MJS0000047991959,,,L2-a1,,,,34.5,1.0621,,
Bucket,MJS0000048003289,,,L2-a1,,,,34.412,1.0958,,
Bucket,MJS0000048004436,,,L2-a1,,,,34.636,1.115,,
Bucket,MJS0000048004542,,,L2-a1,,,,34.2419,1.0781,,
Bucket,MJS0000048004578,,,L2-a1,,,,35.0238,1.1438,,
Bucket,MJS0000048006108,,,L2-a1,,,,34.492,1.116,,
Bucket,MJS0000048007752,,,L2-a1,,,,34.9711,1.0929,,
Bucket,MJS0000048011951,,,L2-a1,,,,34.5997,1.1141,,
Bucket,MJS0000048018921,,,L2-a1,,,,34.6066,1.0371,,
Bucket,MJS0000048029213,,,L2-a1,,,,34.759,1.062,,
Bucket,MJS0000048033434,,,L2-a1,,,,34.4605,1.1065,,
Bucket,MJS0000048040538,,,L2-a1,,,,34.102,1.019,,
Bucket,MJS0000048044231,,,L2-a1,,,,34.7773,1.0598,,
Bucket,MJS0000048045632,,,L2-a1,,,,34.3062,1.1198,,
Bucket,MJS0000048046238,,,L2-a1,,,,34.5073,1.0838,,
Bucket,MJS0000048049802,,,L2-a1,,,,34.9218,1.0544,,
Bucket,MJS0000048053191,,,L2-a1,,,,34.7648,1.13,,
Bucket,MJS0000048055265,,,L2-a1,,,,34.6019,1.1329,,
Bucket,MJS0000048057747,,,L2-a1,,,,34.2726,1.074,,
Bucket,MJS0000048060806,,,L2-a1,,,,34.6902,1.0166,,
Bucket,MJS0000048066130,,,L2-a1,,,,34.8138,1.0922,,
Bucket,MJS0000048066798,,,L2-a1,,,,35.014,1.099,,
Bucket,MJS0000048067876,,,L2-a1,,,,34.4964,1.0936,,
Bucket,MJS0000048069954,,,L2-a1,,,,34.918,1.133,,
Bucket,MJS0000048071581,,,L2-a1,,,,34.9009,1.132,,
Bucket,MJS0000048073171,,,L2-a1,,,,34.2242,1.0576,,
Bucket,MJS0000048073537,,,L2-a2,,,,34.5962,1.2791,,
Bucket,MJS0000048076233,,,L2-a2,,,,34.6861,1.2486,,
Bucket,MJS0000048077761,,,L2-a2,,,,34.9551,1.2292,,
Bucket,MJS0000048080163,,,L2-a2,,,,34.5259,1.2311,,
Bucket,MJS0000048081173,,,L2-a2,,,,34.2714,1.1846,,
Bucket,MJS0000048085320,,,L2-a2,,,,34.3242,1.1765,,
Bucket,MJS0000048085884,,,L2-a2,,,,34.6926,1.2117,,
Bucket,MJS0000048088840,,,L2-a2,,,,34.4969,1.2333,,
Bucket,MJS0000048090494,,,L2-a2,,,,34.9841,1.1745,,
Bucket,MJS0000048093164,,,L2-a2,,,,34.1646,1.2089,,
Bucket,MJS0000048095181,,,L2-a2,,,,34.1298,1.2519,,
Bucket,MJS0000048095570,,,L2-a2,,,,34.2204,1.2435,,
Bucket,MJS0000048097536,,,L2-a2,,,,34.7701,1.2224,,
Bucket,MJS0000048098917,,,L2-a2,,,,34.8207,1.1854,,
Bucket,MJS0000048103259,,,L2-a2,,,,34.774,1.1854,,
Bucket,MJS0000048105996,,,L2-a2,,,,34.6911,1.2377,,
Bucket,MJS0000048106277,,,L2-a2,,,,34.8408,1.2878,,
Bucket,MJS0000048108904,,,L2-a2,,,,34.6048,1.1538,,
Bucket,MJS0000048114866,,,L2-a2,,,,34.8461,1.2076,,
Bucket,MJS0000048115680,,,L2-a2,,,,34.9777,1.1905,,
Bucket,MJS0000048120331,,,L2-a2,,,,34.9885,1.2265,,
Bucket,MJS0000048121355,,,L2-a2,,,,35.0475,1.2976,,
Bucket,MJS0000048122004,,,L2-a2,,,,34.3051,1.2173,,
Bucket,MJS0000048126699,,,L2-a2,,,,34.7224,1.2252,,
Bucket,MJS0000048137215,,,L2-a2,,,,34.0777,1.2715,,
Bucket,MJS0000048141050,,,L2-a2,,,,34.4465,1.2414,,
Bucket,MJS0000048146476,,,L2-a2,,,,34.9766,1.2693,,
Bucket,MJS0000048149585,,,L2-a2,,,,34.7972,1.1921,,
Bucket,MJS0000048149651,,,L2-a2,,,,35.0292,1.2442,,
Bucket,MJS0000048149836,,,L2-a2,,,,34.9252,1.2378,,
Bucket,MJS0000048153657,,,L2-a2,,,,35.0352,1.1662,,
Bucket,MJS0000048158759,,,L2-a2,,,,34.7337,1.2944,,
Bucket,MJS0000048165512,,,L2-a2,,,,34.9707,1.163,,
Bucket,MJS0000048178175,,,L2-a2,,,,35.0046,1.2533,,
Bucket,MJS0000048180985,,,L2-a2,,,,34.4356,1.1779,,
Bucket,MJS0000048181336,,,L2-a2,,,,35.0489,1.2943,,
Bucket,MJS0000048183441,,,L2-a2,,,,34.8652,1.1821,,
Bucket,MJS0000048190511,,,L2-a2,,,,34.9642,1.2895,,
Bucket,MJS0000048193823,,,L2-a2,,,,34.9017,1.1919,,
Bucket,MJS0000048197336,,,L2-a2,,,,34.9499,1.2157,,
Bucket,MJS0000048201944,,,L2-a2,,,,34.6523,1.2957,,
Bucket,MJS0000048202996,,,L2-a2,,,,34.2312,1.2684,,
Bucket,MJS0000048207286,,,L2-a2,,,,34.151,1.263,,
Bucket,MJS0000048207598,,,L2-a2,,,,34.4758,1.2006,,
Bucket,MJS0000048207717,,,L2-a2,,,,34.9148,1.2735,,
Bucket,MJS0000048211232,,,L2-a2,,,,35.0307,1.2717,,
Bucket,MJS0000048216826,,,L2-a2,,,,34.9887,1.2935,,
Bucket,MJS0000048216931,,,L2-a2,,,,34.9017,1.2028,,
Bucket,MJS0000048219365,,,L2-a2,,,,34.5367,1.2104,,
Bucket,MJS0000048222926,,,L2-a2,,,,34.8115,1.1636,,
Bucket,MJS0000048224343,,,L2-a2,,,,34.8195,1.2213,,
Bucket,MJS0000048234142,,,L2-a2,,,,34.6681,1.2459,,
Bucket,MJS0000048239493,,,L2-a2,,,,34.5981,1.2076,,
Bucket,MJS0000048240921,,,L2-a2,,,,34.8973,1.2956,,
Bucket,MJS0000048243942,,,L2-a2,,,,34.8812,1.2686,,
Bucket,MJS0000048244051,,,L2-a2,,,,34.1335,1.1688,,
Bucket,MJS0000048253563,,,L2-a2,,,,34.4168,1.2603,,
Bucket,MJS0000048261175,,,L2-a2,,,,34.663,1.2464,,
Bucket,MJS0000048262716,,,L2-a2,,,,34.2561,1.241,,
Bucket,MJS0000048265495,,,L2-a2,,,,34.6799,1.2126,,
Bucket,MJS0000048273216,,,L2-a2,,,,34.7269,1.2647,,
Bucket,MJS0000048280053,,,L2-a2,,,,34.6492,1.1995,,
Bucket,MJS0000048284087,,,L2-a2,,,,34.3068,1.1668,,
Bucket,MJS0000048286624,,,L2-a2,,,,34.1617,1.2792,,
Bucket,MJS0000048291282,,,L2-a2,,,,35.0125,1.2595,,
Bucket,MJS0000048304232,,,L2-a2,,,,34.9865,1.1671,,
Bucket,MJS0000048306566,,,L2-a2,,,,34.4307,1.2711,,
Bucket,MJS0000048318351,,,L2-a2,,,,34.3192,1.2927,,
Bucket,MJS0000048321613,,,L2-a2,,,,34.8873,1.2039,,
Bucket,MJS0000048322430,,,L2-a2,,,,34.177,1.2169,,
Bucket,MJS0000048327278,,,L2-a2,,,,34.3766,1.2379,,
Bucket,MJS0000048330561,,,L2-a2,,,,34.9641,1.2425,,
Bucket,MJS0000048336248,,,L2-a2,,,,34.919,1.2159,,
Bucket,MJS0000048336477,,,L2-a2,,,,34.802,1.1699,,
Bucket,MJS0000048348625,,,L2-a2,,,,34.6275,1.2765,,
Bucket,MJS0000048354020,,,L2-a2,,,,34.224,1.2711,,
Bucket,MJS0000048354086,,,L2-a2,,,,34.7049,1.2017,,
Bucket,MJS0000048354882,,,L2-a2,,,,34.2231,1.2597,,
Bucket,MJS0000048364009,,,L2-a2,,,,34.9998,1.2181,,
Bucket,MJS0000048370204,,,L2-a2,,,,34.5422,1.2562,,
Bucket,MJS0000048370243,,,L2-a2,,,,34.6819,1.2873,,
Bucket,MJS0000048377045,,,L2-a2,,,,34.9578,1.1941,,
Bucket,MJS0000048385171,,,L2-a2,,,,34.4965,1.2366,,
Bucket,MJS0000048389628,,,L2-a2,,,,34.5578,1.2279,,
Bucket,MJS0000048397063,,,L2-a2,,,,34.7821,1.2771,,
Bucket,MJS0000048400864,,,L2-a2,,,,34.6041,1.2319,,
Bucket,MJS0000048402594,,,L2-a2,,,,34.7074,1.2497,,
Bucket,MJS0000048413251,,,L2-a2,,,,34.7239,1.1518,,
Bucket,MJS0000048413788,,,L2-a2,,,,34.848,1.2778,,
Bucket,MJS0000048418261,,,L2-a2,,,,34.8984,1.2519,,
Bucket,MJS0000048420269,,,L2-a2,,,,34.6938,1.1681,,
Bucket,MJS0000048420352,,,L2-a2,,,,34.9722,1.1701,,
Bucket,MJS0000048422887,,,L2-a2,,,,34.5061,1.167,,
Bucket,MJS0000048423049,,,L2-a2,,,,34.8076,1.2431,,
Bucket,MJS0000048424393,,,L2-a2,,,,34.4935,1.2649,,
Bucket,MJS0000048425279,,,L2-a2,,,,34.9192,1.1752,,
Bucket,MJS0000048426350,,,L2-a2,,,,34.1696,1.2468,,
Bucket,MJS0000048428360,,,L2-a2,,,,34.7365,1.2859,,
Bucket,MJS0000048430362,,,L2-a2,,,,34.7994,1.2726,,
Bucket,MJS0000048430377,,,L2-a2,,,,34.9043,1.2992,,
Bucket,MJS0000048430970,,,L2-a2,,,,34.3362,1.2093,,
Bucket,MJS0000048432075,,,L2-a2,,,,34.9109,1.2486,,
Bucket,MJS0000048434535,,,L2-a2,,,,34.9464,1.2706,,
Bucket,MJS0000048436665,,,L2-a2,,,,34.9179,1.242,,
Bucket,MJS0000048436916,,,L2-a2,,,,34.9442,1.2126,,
Bucket,MJS0000048437234,,,L2-a2,,,,34.74,1.2083,,
Bucket,MJS0000048437818,,,L2-a2,,,,34.5536,1.2438,,
Bucket,MJS0000048438841,,,L2-a2,,,,34.9115,1.2115,,
Bucket,MJS0000048441597,,,L2-a2,,,,34.9315,1.2017,,
Bucket,MJS0000048445878,,,L2-a2,,,,34.7393,1.2301,,
Bucket,MJS0000048446648,,,L2-a2,,,,34.9616,1.1919,,
Bucket,MJS0000048460985,,,L2-a2,,,,35.0298,1.2257,,
Bucket,MJS0000048462552,,,L2-a2,,,,34.8413,1.2643,,
Bucket,MJS0000048462572,,,L2-a2,,,,34.5503,1.2508,,
Bucket,MJS0000048469398,,,L2-a2,,,,34.1182,1.2914,,
Bucket,MJS0000048470878,,,L2-a2,,,,34.6793,1.2464,,
Bucket,MJS0000048471279,,,L2-a2,,,,35.016,1.241,,
Bucket,MJS0000048474650,,,L2-a2,,,,34.8595,1.2355,,
Bucket,MJS0000048477597,,,L2-a2,,,,34.9215,1.2562,,
Bucket,MJS0000048479629,,,L2-a2,,,,34.5866,1.242,,
Bucket,MJS0000048482681,,,L2-a2,,,,34.6826,1.2095,,
Bucket,MJS0000048485012,,,L2-a2,,,,34.6654,1.2978,,
Bucket,MJS0000048485053,,,L2-a2,,,,35.023,1.1961,,
Bucket,MJS0000048485181,,,L2-a2,,,,34.7297,1.1597,,
Bucket,MJS0000048487411,,,L2-a2,,,,34.8777,1.2715,,
Bucket,MJS0000048489409,,,L2-a2,,,,34.3239,1.2941,,
Bucket,MJS0000048489602,,,L2-a2,,,,34.9804,1.2486,,
Bucket,MJS0000048490422,,,L2-a2,,,,34.5259,1.2453,,
Bucket,MJS0000048491836,,,L2-a2,,,,34.6154,1.1963,,
Bucket,MJS0000048492510,,,L2-a2,,,,34.9052,1.2246,,
Bucket,MJS0000048493413,,,L2-a2,,,,34.5258,1.24,,
Bucket,MJS0000048495319,,,L2-a2,,,,34.919,1.2617,,
Bucket,MJS0000048495337,,,L2-a2,,,,34.4686,1.2149,,
Bucket,MJS0000048495867,,,L2-a2,,,,34.6067,1.2103,,
Bucket,MJS0000048496140,,,L2-a2,,,,34.4367,1.1593,,
Bucket,MJS0000048497933,,,L2-a2,,,,35.031,1.2008,,
Bucket,MJS0000048498006,,,L2-a2,,,,34.7887,1.2062,,
Bucket,MJS0000048498048,,,L2-a2,,,,34.648,1.254,,
Bucket,MJS0000048498072,,,L2-a2,,,,34.4895,1.2651,,
Bucket,MJS0000048498141,,,L2-a2,,,,34.533,1.2804,,
Bucket,MJS0000048498162,,,L2-a2,,,,34.7137,1.2464,,
Bucket,MJS0000048498279,,,L2-a2,,,,34.6931,1.2033,,
Bucket,MJS0000048498343,,,L2-a2,,,,34.6245,1.1711,,
Bucket,MJS0000048499117,,,L2-a2,,,,34.1905,1.2675,,
Bucket,MJS0000048499918,,,L2-a2,,,,34.0816,1.2927,,
Bucket,MJS0000048499973,,,L2-a2,,,,34.8958,1.2195,,
Bucket,MJS0000048500297,,,L2-a2,,,,34.7888,1.2017,,
Bucket,MJS0000048500530,,,L2-a2,,,,34.084,1.2719,,
Bucket,MJS0000048500573,,,L2-a2,,,,34.5681,1.2508,,
Bucket,MJS0000048500763,,,L2-a2,,,,34.406,1.1522,,
Bucket,MJS0000048501051,,,L2-a2,,,,34.8764,1.2235,,
Bucket,MJS0000048501099,,,L2-a2,,,,34.4852,1.2878,,
Bucket,MJS0000048501181,,,L2-a2,,,,34.8016,1.2279,,
Bucket,MJS0000048501260,,,L2-a2,,,,34.8777,1.1657,,
Bucket,MJS0000048501309,,,L2-a2,,,,34.5577,1.2628,,
Bucket,MJS0000048501350,,,L2-a2,,,,34.6223,1.1995,,
Bucket,MJS0000048501579,,,L2-a2,,,,34.683,1.1821,,
Bucket,MJS0000048503300,,,L2-a2,,,,34.8608,1.2083,,
Bucket,MJS0000048504073,,,L2-a2,,,,34.6899,1.2671,,
Bucket,MJS0000048504092,,,L2-a2,,,,34.5434,1.2035,,
Bucket,MJS0000048504540,,,L2-a2,,,,34.2476,1.2595,,
Bucket,MJS0000048505991,,,L2-a2,,,,34.2744,1.2076,,
Bucket,MJS0000048507978,,,L2-a2,,,,34.667,1.2792,,
Bucket,MJS0000048514121,,,L2-a2,,,,34.0509,1.1549,,
Bucket,MJS0000048514490,,,L2-a2,,,,34.5499,1.1736,,
Bucket,MJS0000048515934,,,L2-a2,,,,34.2922,1.1752,,
Bucket,MJS0000048516084,,,L2-a2,,,,34.8128,1.1701,,
Bucket,MJS0000048516476,,,L2-a2,,,,34.4368,1.2889,,
Bucket,MJS0000048516553,,,L2-a2,,,,34.297,1.1561,,
Bucket,MJS0000048516741,,,L2-a2,,,,34.8048,1.2978,,
Bucket,MJS0000048516797,,,L2-a2,,,,34.7667,1.2427,,
Bucket,MJS0000048516941,,,L2-a2,,,,34.7088,1.2387,,
Bucket,MJS0000048516966,,,L2-a2,,,,34.5912,1.2154,,
Bucket,MJS0000048516969,,,L2-a2,,,,34.5385,1.163,,
Bucket,MJS0000048517043,,,L2-a2,,,,34.1676,1.1738,,
Bucket,MJS0000048518050,,,L2-a2,,,,35.0042,1.2722,,
Bucket,MJS0000048519670,,,L2-a2,,,,34.0865,1.1939,,
Bucket,MJS0000048521408,,,L2-a2,,,,34.8569,1.2238,,
Bucket,MJS0000048521656,,,L2-a2,,,,34.4345,1.1668,,
Bucket,MJS0000048521819,,,L2-a2,,,,34.5258,1.2414,,
Bucket,MJS0000048522595,,,L2-a2,,,,34.7373,1.19,,
Bucket,MJS0000048525527,,,L2-a2,,,,34.2758,1.2622,,
Bucket,MJS0000048526709,,,L2-a2,,,,34.1152,1.2333,,
Bucket,MJS0000048527032,,,L2-a2,,,,34.4811,1.159,,
Bucket,MJS0000048528872,,,L2-a2,,,,34.0545,1.266,,
Bucket,MJS0000048529216,,,L2-a2,,,,34.9994,1.2362,,
Bucket,MJS0000048530859,,,L2-a2,,,,35.043,1.1941,,
Bucket,MJS0000048531914,,,L2-a2,,,,34.8987,1.2739,,
Bucket,MJS0000048532944,,,L2-a2,,,,35.0004,1.1788,,
Bucket,MJS0000048532997,,,L2-a2,,,,34.7208,1.1738,,
